ax (m/s^2),ay (m/s^2),az (m/s^2),Activity,Subject,Sample
0.0613,0.0029,-0.0311,laying,3.0,1
0.053675,0.0139,0.0809,laying,3.0,1
0.030775,0.0131,-0.020375,laying,3.0,1
-0.029675,-0.03555,-0.1077,laying,3.0,1
-0.00085,-0.037625,0.046875,laying,3.0,1
0.060875,-0.0069,-0.03605,laying,3.0,1
0.06435,-0.010275,-0.038725,laying,3.0,1
-0.016875,-0.0304,-0.07865,laying,3.0,1
-0.00435,-0.029325,0.028125,laying,3.0,1
0.029625,0.025725,0.089375,laying,3.0,1
0.003325,0.01745,-0.1324,laying,3.0,1
0.0059,-0.0091,-0.022425,laying,3.0,1
0.0423,0.027075,-0.0158,laying,3.0,1
0.017875,0.035625,-0.036075,laying,3.0,1
-0.001275,0.014025,-0.0004,laying,3.0,1
0.042525,-0.0526,-0.0185,laying,3.0,1
0.049375,-0.07395,0.012075,laying,3.0,1
0.013225,-0.06035,-0.009475,laying,3.0,1
0.018925,-0.0209,-0.024425,laying,3.0,1
0.0305,0.008025,-0.018475,laying,3.0,1
0.05555,0.001525,-0.007825,laying,3.0,1
0.04935,-0.0001,0.03955,laying,3.0,1
0.0195,0.0046,-0.030325,laying,3.0,1
0.006625,0.013075,-0.041325,laying,3.0,1
0.00695,0.014475,-0.0205,laying,3.0,1
0.060675,0.0179,0.01525,laying,3.0,1
0.054925,0.031275,-0.052875,laying,3.0,1
0.0204,0.0115,-0.018375,laying,3.0,1
-0.005625,0.00355,-0.00805,laying,3.0,1
-0.0026,-0.018675,-0.0175,laying,3.0,1
0.030875,-0.05395,0.015875,laying,3.0,1
0.02255,-0.061575,0.0164,laying,3.0,1
0.040625,-0.01145,-0.002725,laying,3.0,1
0.017,0.0096,-0.0073,laying,3.0,1
0.027575,-0.01435,-0.023,laying,3.0,1
0.013725,-0.025375,-0.007675,laying,3.0,1
0.00675,0.00735,-0.0194,laying,3.0,1
0.015925,0.02965,-0.0455,laying,3.0,1
0.03115,0.011525,-0.003,laying,3.0,1
0.031275,-0.00495,0.03465,laying,3.0,1
0.024,-0.0101,0.00585,laying,3.0,1
-0.00575,-0.03925,-0.05955,laying,3.0,1
0.032975,-0.008025,0.075425,laying,3.0,1
0.047475,0.019325,-0.0168,laying,3.0,1
0.03825,-0.014875,-0.015975,laying,3.0,1
-0.01095,-0.0335,-0.071125,laying,3.0,1
0.0517,-0.050675,0.0763,laying,3.0,1
0.049175,-0.004275,0.090275,laying,3.0,1
-0.026525,-0.00265,-0.10975,laying,3.0,1
-0.002075,-0.03085,-0.01425,laying,3.0,1
0.052625,0.032275,0.0065,laying,3.0,1
0.023875,0.06465,-0.0285,laying,3.0,1
0.00865,0.0047,-0.00135,laying,3.0,1
0.0191,-0.033575,0.01365,laying,3.0,1
0.02305,-0.043275,0.038175,laying,3.0,1
0.032475,-0.042375,-0.002175,laying,3.0,1
0.05745,0.0001,-0.01225,laying,3.0,1
0.04175,0.0028,0.012225,laying,3.0,1
0.021875,-0.0042,-0.010225,laying,3.0,1
0.036025,0.01025,0.01395,laying,3.0,1
0.038675,0.00405,0.002325,laying,3.0,1
0.02565,-0.0136,-0.013075,laying,3.0,1
0.009725,-0.0191,0.00265,laying,3.0,1
0.02225,0.011375,0.005625,laying,3.0,1
0.0315,0.031225,-0.061725,laying,3.0,1
0.02435,0.01695,0.013225,laying,3.0,1
0.02365,0.020275,-0.012725,laying,3.0,1
0.01055,-0.02395,-0.016075,laying,3.0,1
-0.00535,-0.024925,0.0113,laying,3.0,1
0.03165,-0.00845,0.0224,laying,3.0,1
0.071475,-0.010825,0.0075,laying,3.0,1
0.045,0.0146,-0.002125,laying,3.0,1
0.0118,-0.011025,0.0073,laying,3.0,1
0.022425,-0.022625,0.019975,laying,3.0,1
0.024825,-0.000175,-0.0371,laying,3.0,1
0.043975,5e-05,0.005175,laying,3.0,1
0.030575,0.0265,-0.017725,laying,3.0,1
0.048325,0.00525,0.012425,laying,3.0,1
0.040575,-0.00375,0.0263,laying,3.0,1
0.01315,-0.019625,-0.064425,laying,3.0,1
0.010275,-0.002675,0.084675,laying,3.0,1
0.048275,0.008475,-0.002,laying,3.0,1
0.068625,-0.02335,-0.005425,laying,3.0,1
0.008225,-0.0061,-0.00905,laying,3.0,1
0.002475,-0.03605,0.013075,laying,3.0,1
0.0432,0.003575,0.0997,laying,3.0,1
0.0005,0.017225,-0.0586,laying,3.0,1
-0.01205,-0.0205,0.02345,laying,3.0,1
0.041325,0.023775,0.019325,laying,3.0,1
0.019575,0.027075,-0.0446,laying,3.0,1
0.00995,-0.0026,-0.0236,laying,3.0,1
0.040275,-0.027575,0.014525,laying,3.0,1
0.02035,-0.038125,0.025175,laying,3.0,1
0.0234,-0.036875,-0.03885,laying,3.0,1
0.021125,-0.0116,-0.002,laying,3.0,1
0.047025,-0.0084,-0.000425,laying,3.0,1
0.03705,-0.0218,-0.003475,laying,3.0,1
0.055625,0.001775,0.0188,laying,3.0,1
0.04265,0.024275,0.0516,laying,3.0,1
0.02585,-0.0142,-0.050325,laying,3.0,1
-0.00875,-0.0029,0.001975,laying,3.0,1
0.01985,0.00655,0.046,laying,3.0,1
0.03745,0.0105,-0.01665,laying,3.0,1
0.039275,0.016175,-0.019775,laying,3.0,1
-0.009425,0.001025,0.004475,laying,3.0,1
-0.00065,-0.03065,-0.03405,laying,3.0,1
0.029225,-0.06585,0.019775,laying,3.0,1
0.0358,-0.0387,0.022125,laying,3.0,1
0.053275,-0.01375,0.0016,laying,3.0,1
0.06625,-0.003175,0.009825,laying,3.0,1
0.036075,-0.003575,-0.007475,laying,3.0,1
0.028075,0.002125,0.009775,laying,3.0,1
0.024075,-0.005575,0.00135,laying,3.0,1
0.05515,-0.005275,0.0112,laying,3.0,1
0.0491,0.02095,0.001625,laying,3.0,1
0.03715,0.0137,-0.018,laying,3.0,1
0.048675,0.005725,0.04485,laying,3.0,1
0.05015,-0.003675,-0.0389,laying,3.0,1
-0.0136,-0.048425,-0.03855,laying,3.0,1
-0.029075,-0.0204,0.1175,laying,3.0,1
0.042475,0.004875,-0.058375,laying,3.0,1
0.075375,-0.000475,0.0159,laying,3.0,1
-0.0348,-0.014675,-0.042975,laying,3.0,1
-0.025425,-0.042225,0.12755,laying,3.0,1
0.026175,0.034575,0.026375,laying,3.0,1
-0.0061,0.013025,-0.0905,laying,3.0,1
0.028525,0.0099,0.094375,laying,3.0,1
0.033275,0.04545,0.0112,laying,3.0,1
-0.028625,0.019975,-0.03005,laying,3.0,1
0.0136,-0.010225,-0.02535,laying,3.0,1
0.031575,-0.046775,0.019375,laying,3.0,1
0.063625,-0.0628,-0.004625,laying,3.0,1
0.03665,-0.0326,-0.024525,laying,3.0,1
0.057,-0.009425,-0.000875,laying,3.0,1
0.061225,0.018875,0.029375,laying,3.0,1
0.051925,0.012775,0.01915,laying,3.0,1
0.035275,0.011575,0.01765,laying,3.0,1
0.028925,0.03025,0.01465,laying,3.0,1
0.015075,0.0046,-0.021575,laying,3.0,1
0.01935,-0.00715,-0.015525,laying,3.0,1
0.0479,0.0012,0.0333,laying,3.0,1
0.043,0.005225,-0.0472,laying,3.0,1
0.027125,0.0012,0.01995,laying,3.0,1
0.003675,-0.00395,0.011525,laying,3.0,1
-0.00445,-0.00735,-0.0009,laying,3.0,1
0.009475,-0.027175,0.0177,laying,3.0,1
0.044525,-0.02165,0.007325,laying,3.0,1
0.0563,-0.000275,0.02595,laying,3.0,1
0.043425,0.00365,0.002225,laying,3.0,1
0.0217,-0.021575,-0.040725,laying,3.0,1
0.02595,0.008125,0.00195,laying,3.0,1
0.03705,0.026825,-0.00075,laying,3.0,1
0.031075,0.033225,-0.004075,laying,3.0,1
-0.00255,0.004,-0.028525,laying,3.0,1
0.002,-0.011775,0.000375,laying,3.0,1
0.015725,-0.02655,0.0552,laying,3.0,1
0.025525,-0.02325,-0.01085,laying,3.0,1
0.0059,-0.015775,-0.05065,laying,3.0,1
0.03475,0.0068,0.13565,laying,3.0,1
0.04885,0.023125,-0.003575,laying,3.0,1
0.057825,-0.001775,-0.05615,laying,3.0,1
0.027275,-0.0068,-0.03025,laying,3.0,1
0.038575,-0.02825,0.00795,laying,3.0,1
0.02825,0.0206,0.103175,laying,3.0,1
-0.0211,0.0312,-0.09365,laying,3.0,1
-0.00985,-0.0126,0.055075,laying,3.0,1
0.05525,0.036525,0.0329,laying,3.0,1
0.005925,0.0341,-0.051975,laying,3.0,1
0.005625,-0.006575,-0.038925,laying,3.0,1
0.067875,-0.029925,-0.00265,laying,3.0,1
0.04325,-0.0678,0.030275,laying,3.0,1
0.04095,-0.07635,-0.019325,laying,3.0,1
0.035375,-0.0179,-0.0199,laying,3.0,1
0.04605,-0.0023,0.014275,laying,3.0,1
0.053725,0.002225,0.0007,laying,3.0,1
0.0614,0.0251,-0.00515,laying,3.0,1
0.011325,0.051325,0.0393,laying,3.0,1
0.0178,0.021025,-0.062475,laying,3.0,1
-0.005825,0.00695,0.011675,laying,3.0,1
0.0278,0.0128,0.0185,laying,3.0,1
0.03085,0.0105,-0.0243,laying,3.0,1
0.00965,0.012625,-0.018225,laying,3.0,1
0.015625,-0.013025,0.0586,laying,3.0,1
0.012525,-0.019425,-0.03915,laying,3.0,1
0.041425,-0.031325,-0.0022,laying,3.0,1
0.033475,-0.03295,0.027,laying,3.0,1
0.054675,0.011125,0.021475,laying,3.0,1
0.049425,0.011425,0.015775,laying,3.0,1
0.023525,-0.00345,-0.007925,laying,3.0,1
0.049,-0.01995,0.018825,laying,3.0,1
0.0468,0.0061,-0.017075,laying,3.0,1
0.046025,0.0255,-0.0174,laying,3.0,1
0.0228,0.0281,-0.0063,laying,3.0,1
0.02655,0.010025,0.00905,laying,3.0,1
0.04675,-0.011325,-0.0186,laying,3.0,1
0.024775,-0.0146,0.02665,laying,3.0,1
0.0265,-0.00095,0.047175,laying,3.0,1
0.014475,-0.032425,-0.08,laying,3.0,1
0.00225,-0.0181,0.045975,laying,3.0,1
0.0445,0.0211,0.093625,laying,3.0,1
0.058925,0.0102,-0.09645,laying,3.0,1
0.0448,0.01835,0.04325,laying,3.0,1
-0.00745,-0.002075,-0.069975,laying,3.0,1
0.0373,-0.02265,0.136125,laying,3.0,1
0.00915,-0.01315,-0.02505,laying,3.0,1
-0.03355,-0.020825,-0.05655,laying,3.0,1
0.025575,0.0017,0.074625,laying,3.0,1
0.049375,0.06555,-0.0157,laying,3.0,1
0.027425,0.016275,-0.051275,laying,3.0,1
0.040375,-0.04605,-0.00515,laying,3.0,1
0.026175,-0.052225,0.038175,laying,3.0,1
0.0398,-0.05235,-0.0022,laying,3.0,1
